"state","race","type","all_workers_n","artists_n","artists_share","location_quotient"
"Montana","White","Architects",472695,500,0.00105776452046245,0.825177927553767
"Nebraska","White","Architects",845465,755,0.00089299971021863,0.696642434047763
"Nevada","White","Architects",749805,555,0.00074019245003701,0.577435204241344
"New Hampshire","White","Architects",690940,540,0.00078154398355863,0.609694154198961
"New Jersey","White","Architects",2640925,3860,0.00146160909529804,1.14022312227345
"New Mexico","White","Architects",374900,705,0.00188050146705788,1.46700732850277
"New York","White","Architects",5774960,12660,0.0021922229764362,1.7101859416125
"North Carolina","White","Architects",3309215,3445,0.0010410323898568,0.812124942140066
"North Dakota","White","Architects",363175,325,0.000894885385833276,0.698113477806204
"Ohio","White","Architects",4775955,3580,0.000749588302234841,0.584765049111559
"Oklahoma","White","Architects",1276415,900,0.000705099830384319,0.550058926632051
"Oregon","White","Architects",1600140,2625,0.00164048145787243,1.27976412841464
"Pennsylvania","White","Architects",5161830,5100,0.000988021689982041,0.770770502078387
"Rhode Island","White","Architects",423445,505,0.00119259880267803,0.930364168356405
"South Carolina","White","Architects",1586190,1680,0.00105914171694437,0.826252299133454
"South Dakota","White","Architects",398225,190,0.000477117207608764,0.372206271772768
"Tennessee","White","Architects",2455855,1685,0.000686115426195765,0.535248908900217
"Texas","White","Architects",6162190,9200,0.00149297571155709,1.16469268889088
"Utah","White","Architects",1227970,1280,0.00104237074195623,0.813169010635822
"Vermont","White","Architects",319270,415,0.00129984026059448,1.01402483410898
"Virginia","White","Architects",2778485,4330,0.0015584032305375,1.21573367530404
"Washington","White","Architects",2668545,4735,0.00177437517448647,1.38421661991977
"West Virginia","White","Architects",734535,150,0.000204210827258061,0.159307921527917
"Wisconsin","White","Architects",2597700,2125,0.000818031335412095,0.638158483264568
"Wyoming","White","Architects",260685,330,0.00126589562115196,0.987544113036493
"Puerto Rico","White","Architects",13370,75,0.00560957367240089,NA
"Alabama","African-American","Architects",581200,NA,NA,NA
"Alaska","African-American","Architects",13760,0,NA,NA
"Arizona","African-American","Architects",152575,0,NA,NA
"Arkansas","African-American","Architects",200385,0,NA,NA
"California","African-American","Architects",1066265,390,0.000365762732528968,1.39514382641273
"Colorado","African-American","Architects",118415,NA,NA,NA
"Connecticut","African-American","Architects",191785,NA,NA,NA
"Delaware","African-American","Architects",105485,0,NA,NA
"District of Columbia","African-American","Architects",149480,150,0.001003478726251,3.82761015641396
"Florida","African-American","Architects",1569980,360,0.00022930228410553,0.874637128392603
"Georgia","African-American","Architects",1613775,360,0.000223079425570479,0.850901023273889
"Hawaii","African-American","Architects",16455,0,NA,NA
"Idaho","African-American","Architects",5195,0,NA,NA
"Illinois","African-American","Architects",848255,230,0.000271144879782613,1.03423906114375
"Indiana","African-American","Architects",292355,NA,NA,NA
"Iowa","African-American","Architects",56060,0,NA,NA
"Kansas","African-American","Architects",83690,100,0.00119488588839765,4.55770236333101
"Kentucky","African-American","Architects",176080,NA,NA,NA
"Louisiana","African-American","Architects",656860,50,7.61197210973419e-05,0.290346581301321
"Maine","African-American","Architects",8410,0,NA,NA
"Maryland","African-American","Architects",957780,605,0.000631669068053206,2.40940129284636
"Massachusetts","African-American","Architects",260415,110,0.000422402703377302,1.61118799556819
"Michigan","African-American","Architects",624375,65,0.000104104104104104,0.397088563782441
"Minnesota","African-American","Architects",171180,NA,NA,NA
"Mississippi","African-American","Architects",488460,120,0.000245670065102567,0.937069428294244
"Missouri","African-American","Architects",340530,NA,NA,NA
"Montana","African-American","Architects",2855,0,NA,NA
"Nebraska","African-American","Architects",45795,0,NA,NA
"Nevada","African-American","Architects",125635,0,NA,NA
"New Hampshire","African-American","Architects",9675,0,NA,NA
"New Jersey","African-American","Architects",584190,255,0.000436501823037026,1.66496684727107
"New Mexico","African-American","Architects",19190,0,NA,NA
"New York","African-American","Architects",1375735,615,0.000447033767404333,1.70513927561711
"North Carolina","African-American","Architects",1079195,130,0.000120460157802807,0.45947613176796
"North Dakota","African-American","Architects",12445,0,NA,NA
"Ohio","African-American","Architects",680665,125,0.000183643936444506,0.700480615991663
"Oklahoma","African-American","Architects",134195,NA,NA,NA
"Oregon","African-American","Architects",39020,NA,NA,NA
"Pennsylvania","African-American","Architects",636035,40,6.28896208541983e-05,0.239882466082635
"Rhode Island","African-American","Architects",31000,0,NA,NA
"South Carolina","African-American","Architects",638810,80,0.000125232854839467,0.477680826270311
"South Dakota","African-American","Architects",8670,0,NA,NA
"Tennessee","African-American","Architects",554550,30,5.40979172301866e-05,0.206347909541343
"Texas","African-American","Architects",1699445,675,0.000397188493890652,1.51501239982077
"Utah","African-American","Architects",16855,0,NA,NA
"Vermont","African-American","Architects",4210,0,NA,NA
"Virginia","African-American","Architects",837445,365,0.00043584951847584,1.66247873516849
"Washington","African-American","Architects",147305,NA,NA,NA
"West Virginia","African-American","Architects",29055,0,NA,NA
"Wisconsin","African-American","Architects",160610,NA,NA,NA
"Wyoming","African-American","Architects",2975,0,NA,NA
"Puerto Rico","African-American","Architects",1405,0,NA,NA
"Alabama","Asian","Architects",33515,NA,NA,NA
"Alaska","Asian","Architects",26420,0,NA,NA
"Arizona","Asian","Architects",120580,370,0.0030685022391773,1.47791273779121
"Arkansas","Asian","Architects",24295,NA,NA,NA
"California","Asian","Architects",3008795,5880,0.00195427072964426,0.941254520709793
"Colorado","Asian","Architects",97015,250,0.00257692109467608,1.24114770440113
"Connecticut","Asian","Architects",89425,95,0.0010623427453173,0.511666524195031
"Delaware","Asian","Architects",19880,NA,NA,NA
"District of Columbia","Asian","Architects",19090,50,0.00261917234154007,1.2614975855681
"Florida","Asian","Architects",292825,380,0.00129770340647144,0.625025580823231
"Georgia","Asian","Architects",217095,695,0.00320136345839379,1.54190398594201
"Hawaii","Asian","Architects",290190,515,0.0017746993349185,0.854765793988419
"Idaho","Asian","Architects",12030,NA,NA,NA
"Illinois","Asian","Architects",378055,1135,0.00300220867334118,1.4459831194478
"Indiana","Asian","Architects",76575,55,0.000718250081619327,0.345937809981647
"Iowa","Asian","Architects",40760,50,0.00122669283611383,0.590824065468476
"Kansas","Asian","Architects",46470,125,0.00268990746718312,1.29556643579164
"Kentucky","Asian","Architects",33565,NA,NA,NA
"Louisiana","Asian","Architects",41430,35,0.000844798455225682,0.406888540573173
"Maine","Asian","Architects",8235,0,NA,NA
"Maryland","Asian","Architects",213470,485,0.00227198201152386,1.09427691203636
"Massachusetts","Asian","Architects",249930,800,0.00320089625095026,1.54167896025256
